SK_ID_CURR,TARGET
100001,0.14
100005,0.16
100013,0.14
100028,0.09
100038,0.26
100042,0.17
100057,0.16
100065,0.18
100066,0.1
100067,0.22
100074,0.23
100090,0.15
100091,0.15
100092,0.13
100106,0.15
100107,0.18
100109,0.11
100117,0.09
100128,0.14
100141,0.13
100150,0.15
100168,0.14
100169,0.06
100170,0.13
100171,0.08
100172,0.16
100184,0.18
100187,0.21
100212,0.24
100222,0.2
100223,0.08
100232,0.12
100241,0.23
100245,0.13
100253,0.11
100256,0.14
100271,0.12
100278,0.38
100280,0.14
100306,0.25
100311,0.26
100312,0.18
100330,0.21
100331,0.18
100352,0.21
100358,0.14
100367,0.17
100382,0.22
100384,0.17
100385,0.21
100386,0.22
100399,0.13
100404,0.18
100416,0.18
100422,0.14
100426,0.18
100438,0.14
100444,0.29
100445,0.12
100446,0.12
100447,0.13
100450,0.12
100466,0.14
100483,0.11
100484,0.1
100494,0.2
100510,0.23
100512,0.14
100517,0.16
100548,0.15
100551,0.13
100552,0.24
100553,0.2
100561,0.18
100568,0.37
100569,0.12
100591,0.16
100592,0.12
100602,0.14
100607,0.15
100613,0.2
100617,0.16
100618,0.2
100622,0.25
100625,0.19
100677,0.25
100699,0.12
100702,0.33
100711,0.22
100729,0.24
100740,0.19
100744,0.18
100745,0.2
100747,0.16
100751,0.27
100752,0.13
100753,0.25
100754,0.11
100760,0.26
100762,0.18
100763,0.2
100765,0.05
100770,0.19
100772,0.11
100777,0.1
100791,0.04
100792,0.09
100797,0.1
100823,0.26
100826,0.2
100830,0.13
100836,0.27
100872,0.19
100910,0.11
100913,0.25
100918,0.14
100931,0.11
100952,0.14
100953,0.28
100965,0.27
100970,0.11
100982,0.24
100983,0.28
100984,0.13
100987,0.18
100997,0.15
100998,0.22
101002,0.23
101005,0.28
101008,0.21
101020,0.12
101021,0.09
101024,0.25
101025,0.29
101026,0.22
101031,0.11
101041,0.1
101051,0.1
101055,0.16
101056,0.39
101057,0.12
101064,0.13
101079,0.19
101087,0.19
101090,0.15
101092,0.24
101097,0.22
101099,0.14
101107,0.22
101118,0.2
101125,0.19
101126,0.07
101128,0.12
101136,0.28
101140,0.27
101149,0.13
101160,0.13
101169,0.22
101181,0.16
101186,0.15
101190,0.25
101193,0.18
101194,0.31
101198,0.17
101200,0.11
101204,0.1
101211,0.21
101213,0.15
101223,0.11
101225,0.23
101237,0.2
101243,0.12
101244,0.27
101258,0.15
101259,0.22
101268,0.15
101269,0.14
101271,0.25
101279,0.16
101281,0.2
101287,0.11
101292,0.1
101294,0.14
101296,0.17
101297,0.13
101299,0.17
101301,0.13
101305,0.17
101308,0.14
101318,0.1
101327,0.18
101329,0.09
101332,0.19
101337,0.24
101343,0.07
101345,0.1
101346,0.11
101353,0.05
101354,0.29
101355,0.27
101356,0.12
101362,0.19
101363,0.21
101365,0.1
101366,0.19
101367,0.21
101368,0.16
101374,0.15
101380,0.1
101383,0.12
101398,0.08
101399,0.34
101401,0.23
101412,0.12
101426,0.11
101427,0.28
101428,0.31
101429,0.2
101434,0.17
101440,0.18
101448,0.1
101449,0.18
101465,0.21
101467,0.14
101472,0.2
101478,0.25
101497,0.16
101504,0.16
101547,0.17
101548,0.25
101555,0.29
101570,0.16
101572,0.12
101578,0.18
101580,0.25
101588,0.23
101602,0.14
101610,0.26
101614,0.15
101616,0.16
101643,0.15
101644,0.18
101649,0.21
101650,0.16
101665,0.1
101667,0.2
101669,0.2
101674,0.18
101675,0.1
101678,0.12
101682,0.16
101686,0.11
101697,0.26
101700,0.26
101711,0.1
101714,0.07
101715,0.27
101728,0.13
101732,0.11
101757,0.24
101758,0.16
101759,0.19
101762,0.15
101764,0.05
101780,0.31
101784,0.12
101789,0.16
101816,0.06
101819,0.16
101827,0.09
101863,0.17
101867,0.17
101870,0.13
101873,0.25
101878,0.21
101879,0.22
101880,0.16
101887,0.13
101897,0.09
101901,0.13
101903,0.26
101920,0.15
101921,0.07
101922,0.13
101961,0.21
101962,0.11
101971,0.1
101976,0.21
102002,0.25
102005,0.12
102007,0.28
102017,0.13
102019,0.31
102029,0.07
102051,0.2
102052,0.14
102054,0.09
102062,0.16
102067,0.31
102068,0.15
102070,0.14
102090,0.16
102092,0.15
102099,0.21
102100,0.15
102112,0.13
102113,0.07
102122,0.3
102123,0.25
102125,0.09
102126,0.33
102146,0.17
102147,0.24
102151,0.17
102158,0.13
102159,0.08
102162,0.18
102165,0.11
102166,0.07
102174,0.1
102193,0.24
102198,0.12
102205,0.2
102206,0.13
102218,0.1
102221,0.12
102230,0.18
102238,0.21
102248,0.09
102252,0.37
102259,0.2
102262,0.24
102273,0.24
102286,0.24
102293,0.12
102294,0.15
102296,0.15
102298,0.22
102303,0.16
102309,0.14
102315,0.15
102340,0.13
102342,0.2
102344,0.16
102346,0.14
102347,0.18
102374,0.22
102380,0.1
102387,0.24
102393,0.17
102403,0.17
102413,0.19
102414,0.12
102415,0.16
102416,0.13
102439,0.21
102441,0.12
102443,0.14
102444,0.29
102445,0.27
102448,0.08
102449,0.13
102450,0.22
102456,0.11
102458,0.16
102459,0.09
102465,0.09
102470,0.22
102471,0.15
102475,0.18
102476,0.24
102506,0.21
102509,0.13
102519,0.11
102522,0.11
102545,0.16
102549,0.14
102562,0.08
102563,0.1
102568,0.14
102582,0.17
102592,0.14
102597,0.15
102605,0.17
102614,0.17
102617,0.23
102634,0.17
102652,0.11
102655,0.04
102671,0.15
102694,0.15
102701,0.2
102703,0.1
102704,0.08
102713,0.12
102720,0.15
102731,0.15
102733,0.11
102749,0.12
102755,0.13
102763,0.14
102770,0.2
102772,0.14
102799,0.22
102838,0.15
102854,0.15
102862,0.12
102863,0.09
102867,0.1
102868,0.1
102878,0.13
102887,0.08
102898,0.25
102904,0.22
102912,0.15
102919,0.05
102927,0.18
102932,0.13
102933,0.12
102935,0.14
102958,0.15
102969,0.24
102971,0.16
102975,0.08
102979,0.14
102982,0.12
102987,0.23
102989,0.17
102995,0.23
102996,0.2
103000,0.19
103001,0.17
103004,0.14
