threshold,business_cost,normalized_business_cost,fp,fn,tp,tn
0.01,56538,0.9192722306228964,56538,0,4965,0
0.02,56538,0.9192722306228964,56538,0,4965,0
0.03,56538,0.9192722306228964,56538,0,4965,0
0.04,56538,0.9192722306228964,56538,0,4965,0
0.05,56538,0.9192722306228964,56538,0,4965,0
0.06,56538,0.9192722306228964,56538,0,4965,0
0.07,56538,0.9192722306228964,56538,0,4965,0
0.08,56538,0.9192722306228964,56538,0,4965,0
0.09,49650,0.8072776937710355,0,4965,0,56538
0.1,49650,0.8072776937710355,0,4965,0,56538
0.11,49650,0.8072776937710355,0,4965,0,56538
0.12,49650,0.8072776937710355,0,4965,0,56538
0.13,49650,0.8072776937710355,0,4965,0,56538
0.14,49650,0.8072776937710355,0,4965,0,56538
0.15,49650,0.8072776937710355,0,4965,0,56538
0.16,49650,0.8072776937710355,0,4965,0,56538
0.17,49650,0.8072776937710355,0,4965,0,56538
0.18,49650,0.8072776937710355,0,4965,0,56538
0.19,49650,0.8072776937710355,0,4965,0,56538
0.2,49650,0.8072776937710355,0,4965,0,56538
0.21,49650,0.8072776937710355,0,4965,0,56538
0.22,49650,0.8072776937710355,0,4965,0,56538
0.23,49650,0.8072776937710355,0,4965,0,56538
0.24,49650,0.8072776937710355,0,4965,0,56538
0.25,49650,0.8072776937710355,0,4965,0,56538
0.26,49650,0.8072776937710355,0,4965,0,56538
0.27,49650,0.8072776937710355,0,4965,0,56538
0.28,49650,0.8072776937710355,0,4965,0,56538
0.29,49650,0.8072776937710355,0,4965,0,56538
0.3,49650,0.8072776937710355,0,4965,0,56538
0.31,49650,0.8072776937710355,0,4965,0,56538
0.32,49650,0.8072776937710355,0,4965,0,56538
0.33,49650,0.8072776937710355,0,4965,0,56538
0.34,49650,0.8072776937710355,0,4965,0,56538
0.35000000000000003,49650,0.8072776937710355,0,4965,0,56538
0.36,49650,0.8072776937710355,0,4965,0,56538
0.37,49650,0.8072776937710355,0,4965,0,56538
0.38,49650,0.8072776937710355,0,4965,0,56538
0.39,49650,0.8072776937710355,0,4965,0,56538
0.4,49650,0.8072776937710355,0,4965,0,56538
0.41000000000000003,49650,0.8072776937710355,0,4965,0,56538
0.42,49650,0.8072776937710355,0,4965,0,56538
0.43,49650,0.8072776937710355,0,4965,0,56538
0.44,49650,0.8072776937710355,0,4965,0,56538
0.45,49650,0.8072776937710355,0,4965,0,56538
0.46,49650,0.8072776937710355,0,4965,0,56538
0.47000000000000003,49650,0.8072776937710355,0,4965,0,56538
0.48,49650,0.8072776937710355,0,4965,0,56538
0.49,49650,0.8072776937710355,0,4965,0,56538
0.5,49650,0.8072776937710355,0,4965,0,56538
0.51,49650,0.8072776937710355,0,4965,0,56538
0.52,49650,0.8072776937710355,0,4965,0,56538
0.53,49650,0.8072776937710355,0,4965,0,56538
0.54,49650,0.8072776937710355,0,4965,0,56538
0.55,49650,0.8072776937710355,0,4965,0,56538
0.56,49650,0.8072776937710355,0,4965,0,56538
0.5700000000000001,49650,0.8072776937710355,0,4965,0,56538
0.58,49650,0.8072776937710355,0,4965,0,56538
0.59,49650,0.8072776937710355,0,4965,0,56538
0.6,49650,0.8072776937710355,0,4965,0,56538
0.61,49650,0.8072776937710355,0,4965,0,56538
0.62,49650,0.8072776937710355,0,4965,0,56538
0.63,49650,0.8072776937710355,0,4965,0,56538
0.64,49650,0.8072776937710355,0,4965,0,56538
0.65,49650,0.8072776937710355,0,4965,0,56538
0.66,49650,0.8072776937710355,0,4965,0,56538
0.67,49650,0.8072776937710355,0,4965,0,56538
0.68,49650,0.8072776937710355,0,4965,0,56538
0.6900000000000001,49650,0.8072776937710355,0,4965,0,56538
0.7000000000000001,49650,0.8072776937710355,0,4965,0,56538
0.71,49650,0.8072776937710355,0,4965,0,56538
0.72,49650,0.8072776937710355,0,4965,0,56538
0.73,49650,0.8072776937710355,0,4965,0,56538
0.74,49650,0.8072776937710355,0,4965,0,56538
0.75,49650,0.8072776937710355,0,4965,0,56538
0.76,49650,0.8072776937710355,0,4965,0,56538
0.77,49650,0.8072776937710355,0,4965,0,56538
0.78,49650,0.8072776937710355,0,4965,0,56538
0.79,49650,0.8072776937710355,0,4965,0,56538
0.8,49650,0.8072776937710355,0,4965,0,56538
