threshold,business_cost,normalized_business_cost,fp,fn,tp,tn
0.01,56533,0.9191909337755881,56533,0,4965,5
0.02,56489,0.9184755215192755,56489,0,4965,49
0.03,56276,0.9150122758239435,56276,0,4965,262
0.04,55902,0.9089312716452856,55892,1,4964,646
0.05,55347,0.8999073215940686,55287,6,4959,1251
0.06,54569,0.8872575321529032,54459,11,4954,2079
0.07,53741,0.873794774238655,53561,18,4947,2977
0.08,52760,0.8578443327967742,52470,29,4936,4068
0.09,51780,0.8419101507243549,51340,44,4921,5198
0.1,50729,0.8248215534201584,50169,56,4909,6369
0.11,49672,0.8076353998991919,48962,71,4894,7576
0.12,48482,0.7882867502398258,47622,86,4879,8916
0.13,47437,0.7712957091523991,46307,113,4852,10231
0.14,46364,0.7538494057200462,44984,138,4827,11554
0.15,45371,0.7377038518446255,43701,167,4798,12837
0.16,44245,0.719395801830805,42385,186,4779,14153
0.17,43252,0.7032502479553843,41142,211,4754,15396
0.18,42278,0.687413622099735,39868,241,4724,16670
0.19,41373,0.6726988927369396,38663,271,4694,17875
0.2,40601,0.6601466595125441,37521,308,4657,19017
0.21,39770,0.646635123489911,36330,344,4621,20208
0.22,38925,0.6328959562948149,35155,377,4588,21383
0.23,38238,0.6217257694746597,34108,413,4552,22430
0.24,37568,0.6108319919353528,33048,452,4513,23490
0.25,36841,0.5990114303367315,32061,478,4487,24477
0.26,36292,0.5900850365022844,31052,524,4441,25486
0.27,35660,0.5798091150025202,30090,557,4408,26448
0.28,35104,0.5707689055818416,29114,599,4366,27424
0.29,34605,0.5626554802204771,28135,647,4318,28403
0.3,34014,0.5530461928686405,27214,680,4285,29324
0.31,33404,0.5431279774970327,26304,710,4255,30234
0.32,32979,0.5362177454758305,25449,753,4212,31089
0.33,32591,0.5299091101247093,24631,796,4169,31907
0.34,32252,0.5243971838772092,23792,846,4119,32746
0.35000000000000003,31868,0.5181535860039348,23048,882,4083,33490
0.36,31640,0.5144464497666781,22270,937,4028,34268
0.37,31421,0.5108856478545762,21461,996,3969,35077
0.38,31103,0.5057151683657708,20713,1039,3926,35825
0.39,30760,0.500138204640424,20030,1073,3892,36508
0.4,30547,0.4966749589450921,19297,1125,3840,37241
0.41000000000000003,30474,0.4954880249743915,18634,1184,3781,37904
0.42,30337,0.49326049135814515,18007,1233,3732,38531
0.43,30234,0.49158577630359496,17364,1287,3678,39174
0.44,30190,0.49087036404728224,16740,1345,3620,39798
0.45,29996,0.4877160463717217,16126,1387,3578,40412
0.46,29858,0.4854722533860137,15528,1433,3532,41010
0.47000000000000003,29708,0.48303334796676584,14958,1475,3490,41580
0.48,29648,0.4820577857990667,14378,1527,3438,42160
0.49,29585,0.4810334455229826,13785,1580,3385,42753
0.5,29617,0.4815537453457555,13177,1644,3321,43361
0.51,29649,0.48207404516852836,12659,1699,3266,43879
0.52,29666,0.48235045444937646,12136,1753,3212,44402
0.53,29655,0.4821716013852983,11635,1802,3163,44903
0.54,29771,0.48405768824284995,11121,1865,3100,45417
0.55,29956,0.4870656715932556,10586,1937,3028,45952
0.56,30118,0.4896996894460433,10118,2000,2965,46420
0.5700000000000001,30372,0.49382956928930294,9652,2072,2893,46886
0.58,30624,0.49792693039363933,9154,2147,2818,47384
0.59,30929,0.5028860380794433,8709,2222,2743,47829
0.6,31150,0.5064793587304685,8230,2292,2673,48308
0.61,31544,0.5128855502983595,7784,2376,2589,48754
0.62,31853,0.5179096954620099,7363,2449,2516,49175
0.63,32173,0.5231126936897387,6953,2522,2443,49585
0.64,32531,0.5289335479570102,6531,2600,2365,50007
0.65,32780,0.5329821309529617,6100,2668,2297,50438
0.66,33244,0.5405264783831683,5704,2754,2211,50834
0.67,33728,0.548396013202608,5318,2841,2124,51220
0.68,34200,0.5560704355885079,5000,2920,2045,51538
0.6900000000000001,34699,0.5641838609498724,4639,3006,1959,51899
0.7000000000000001,35127,0.5711428710794595,4297,3083,1882,52241
0.71,35639,0.5794676682438255,3979,3166,1799,52559
0.72,36082,0.5866705689153374,3642,3244,1721,52896
0.73,36598,0.5950604035575501,3338,3326,1639,53200
0.74,37232,0.6053688437962376,3042,3419,1546,53496
0.75,37838,0.6152220216899988,2708,3513,1452,53830
0.76,38282,0.6224411817309725,2422,3586,1379,54116
0.77,38965,0.633546331073281,2125,3684,1281,54413
0.78,39695,0.6454156707802872,1885,3781,1184,54653
0.79,40340,0.6559029640830528,1640,3870,1095,54898
0.8,40911,0.6651870640456563,1431,3948,1017,55107
