threshold,business_cost,normalized_business_cost,fp,fn,tp,tn
0.01,56495,0.9185730777360454,56495,0,4965,43
0.02,56446,0.9177763686324244,56436,1,4964,102
0.03,56365,0.9164593597060307,56335,3,4962,203
0.04,56167,0.9132400045526234,56117,5,4960,421
0.05,55887,0.9086873811033608,55807,8,4957,731
0.06,55479,0.9020535583630067,55359,12,4953,1179
0.07,55018,0.894557989041185,54868,15,4950,1670
0.08,54453,0.8853714452953515,54263,19,4946,2275
0.09,53826,0.8751768206428955,53556,27,4938,2982
0.1,53198,0.8649659366209779,52838,36,4929,3700
0.11,52485,0.8533730061948198,52035,45,4920,4503
0.12,51740,0.8412597759458889,51160,58,4907,5378
0.13,51004,0.8292928800221128,50254,75,4890,6284
0.14,50199,0.8162040876054827,49319,88,4877,7219
0.15,49416,0.8034730013170089,48336,108,4857,8202
0.16,48624,0.7905955807033803,47314,131,4834,9224
0.17,47747,0.7763361136855113,46297,145,4820,10241
0.18,46830,0.7614262718891761,45240,159,4806,11298
0.19,46027,0.7483699982114693,44177,185,4780,12361
0.2,45153,0.7341593093019853,43133,202,4763,13405
0.21,44309,0.7204364014763508,42089,222,4743,14449
0.22,43510,0.7074451652764906,41050,246,4719,15488
0.23,42697,0.6942262979041672,39977,272,4693,16561
0.24,41947,0.6820317708079281,38927,302,4663,17611
0.25,41214,0.670113652992537,37954,326,4639,18584
0.26,40541,0.6591710973448449,36891,365,4600,19647
0.27,39926,0.6491715851259288,35916,401,4564,20622
0.28,39298,0.6389607011040112,34938,436,4529,21600
0.29,38750,0.6300505666390257,33940,481,4484,22598
0.3,38014,0.6180836707152496,32944,507,4458,23594
0.31,37459,0.6090597206640327,32019,544,4421,24519
0.32,36890,0.5998081394403525,31050,584,4381,25488
0.33,36279,0.5898736646992829,30129,615,4350,26409
0.34,35856,0.582995951417004,29206,665,4300,27332
0.35000000000000003,35410,0.5757442726371071,28290,712,4253,28248
0.36,34906,0.5675495504284344,27386,752,4213,29152
0.37,34314,0.5579240037071362,26484,783,4182,30054
0.38,33880,0.5508674373607791,25580,830,4135,30958
0.39,33394,0.5429653838024161,24664,873,4092,31874
0.4,33018,0.5368518608848349,23828,919,4046,32710
0.41000000000000003,32723,0.5320553468936474,23053,967,3998,33485
0.42,32463,0.5278279108336179,22213,1025,3940,34325
0.43,32227,0.5239906996406679,21377,1085,3880,35161
0.44,31985,0.520055932230948,20615,1137,3828,35923
0.45,31671,0.5149504902199893,19811,1186,3779,36727
0.46,31577,0.513422109490594,19107,1247,3718,37431
0.47000000000000003,31494,0.5120725818252768,18404,1309,3656,38134
0.48,31315,0.5091621546916411,17675,1364,3601,38863
0.49,31172,0.5068370648586248,16962,1421,3544,39576
0.5,31134,0.506219208819082,16254,1488,3477,40284
0.51,31155,0.5065606555777767,15575,1558,3407,40963
0.52,31080,0.5053412028681528,14930,1615,3350,41608
0.53,31010,0.5042030470058371,14300,1671,3294,42238
0.54,30944,0.5031299286213681,13614,1733,3232,42924
0.55,31012,0.5042355657447605,12952,1806,3159,43586
0.56,31181,0.5069833991837797,12401,1878,3087,44137
0.5700000000000001,31273,0.5084792611742517,11823,1945,3020,44715
0.58,31479,0.5118286912833521,11239,2024,2941,45299
0.59,31770,0.5165601677966929,10680,2109,2856,45858
0.6,31943,0.5193730387135587,10123,2182,2783,46415
0.61,32070,0.5214379786351885,9580,2249,2716,46958
0.62,32316,0.5254377835227549,9046,2327,2638,47492
0.63,32442,0.5274864640749232,8522,2392,2573,48016
0.64,32653,0.5309171910313318,8013,2464,2501,48525
0.65,32899,0.5349169959188983,7559,2534,2431,48979
0.66,33119,0.5384940572004617,7109,2601,2364,49429
0.67,33466,0.5441360584036551,6676,2679,2286,49862
0.68,33778,0.5492089816756907,6238,2754,2211,50300
0.6900000000000001,34062,0.5538266426027999,5832,2823,2142,50706
0.7000000000000001,34600,0.5625741833731688,5430,2917,2048,51108
0.71,34904,0.5675170316895111,5014,2989,1976,51524
0.72,35419,0.575890606962262,4609,3081,1884,51929
0.73,35997,0.585288522511097,4257,3174,1791,52281
0.74,36673,0.596279856267174,3913,3276,1689,52625
0.75,37289,0.6062956278555518,3559,3373,1592,52979
0.76,37949,0.6170268117002423,3239,3471,1494,53299
0.77,38482,0.6256930556233029,2912,3557,1408,53626
0.78,39136,0.6363266832512235,2586,3655,1310,53952
0.79,39702,0.6455294863665187,2322,3738,1227,54216
0.8,40466,0.657951644635221,2076,3839,1126,54462
